timestamp,sessionId,team
1459116348499.0,"1","t"
1459116399905.0,"1","t"
1459116418841.0,"1","t"
1459116423872.0,"1","t"
1459116468873.0,"1","t"
1459116927828.0,"1","t"
1459117231192.0,"1","1"
1459117247827.0,"1","1"
1459117320159.0,"2","t"
1459117324945.0,"2","t"
1459128247236.0,"2","t"
1459128254689.0,"2","t"
1459128977953.0,"2","t"
1459129049920.0,"2","t"
1459194641208.0,"2","t"
1459216569353.0,"2","t"
1459216672321.0,"2","t"
1459216697859.0,"2","t"
1459216707549.0,"2","t"
1459216858173.0,"2","t"
1459216876272.0,"2","t"
1459216882979.0,"2","t"
1459216894897.0,"2","t"
1459218144245.0,"2","t"
1459218251388.0,"2","t"
1459218257636.0,"2","t"
1459218269886.0,"2","t"
1459218279205.0,"2","t"
1459218291665.0,"2","t"
1459218398554.0,"2","t"
1459218403379.0,"2","t"
1459218410079.0,"2","t"
1459218418890.0,"2","t"
1459218434655.0,"2","t"
1459218452628.0,"2","t"
1459218500961.0,"2","t"
1459218527127.0,"2","t"
1459219256636.0,"2","t"
1459219284182.0,"2","t"
1459220147432.0,"2","t"
1459220151948.0,"2","t"
1459220156468.0,"2","t"
1459220165139.0,"2","t"
1459220170967.0,"2","t"
1459220175074.0,"2","t"
1459220182664.0,"2","t"
1459220187225.0,"2","t"
1459220191149.0,"2","t"
1459220197161.0,"2","t"
1459220271538.0,"2","t"
1459220278201.0,"2","t"
1459220294227.0,"2","t"
1459220302174.0,"2","t"
1459220311274.0,"2","t"
1459220317527.0,"2","t"
1459220330051.0,"2","t"
1459220338202.0,"2","t"
1459220345444.0,"2","t"
1459220350324.0,"2","t"
1459220418230.0,"2","t"
1459220424223.0,"2","t"
1459220430289.0,"2","t"
1459220441153.0,"2","t"
1459220446230.0,"2","t"
1459220699136.0,"2","t"
1459220707064.0,"2","t"
1459220712369.0,"2","t"
1459220719130.0,"2","t"
1459220728454.0,"2","t"
1459220744547.0,"2","t"
1459220755710.0,"2","t"
1459220866881.0,"2","t"
1459220872447.0,"2","t"
1459220880728.0,"2","t"
1459220885530.0,"2","t"
1459220891086.0,"2","t"
1459220895887.0,"2","t"
1459220905420.0,"2","t"
1459220910889.0,"2","t"
1459220918601.0,"2","t"
1459220964447.0,"2","t"
1459220970937.0,"2","t"
1459220979887.0,"2","t"
1459220985689.0,"2","t"
1459220990391.0,"2","t"
1459220998001.0,"2","t"
1459221011807.0,"2","t"
1459221030238.0,"2","t"
1459221207144.0,"2","t"
1459221211945.0,"2","t"
1459221215171.0,"2","t"
1459221221556.0,"2","t"
1459221228271.0,"2","t"
1459221232291.0,"2","t"
1459221265360.0,"2","t"
1459221271320.0,"2","t"
1459221280249.0,"2","t"
1459221286451.0,"2","t"
1459221290843.0,"2","t"
1459221294439.0,"2","t"
1459221302297.0,"2","t"
1459221325420.0,"2","t"
1459221351122.0,"2","t"
1459221355467.0,"2","t"
1459221363858.0,"2","t"
1459221373044.0,"2","t"
1459221385982.0,"2","t"
1459221394898.0,"2","t"
1459221401959.0,"2","t"
1459221406252.0,"2","t"
1459221411278.0,"2","t"
1459221463325.0,"2","t"
1459221468413.0,"2","t"
1459221472507.0,"2","t"
1459221479937.0,"2","t"
1459221486383.0,"2","t"
1459221495293.0,"2","t"
1459221504670.0,"2","t"
1459221512229.0,"2","t"
1459221683717.0,"2","t"
1459221690384.0,"2","t"
1459221751961.0,"2","t"
1459221761123.0,"2","t"
1459221764483.0,"2","t"
1459221767813.0,"2","t"
1459221773882.0,"2","t"
1459221809029.0,"2","t"
1459221812820.0,"2","t"
1459221819189.0,"2","t"
1459221827023.0,"2","t"
1459221837591.0,"2","t"
1459221883979.0,"2","t"
1459221896336.0,"2","t"
1459221928155.0,"2","t"
1459221934132.0,"2","t"
1459221943517.0,"2","t"
1459221949703.0,"2","t"
1459221961023.0,"2","t"
1459221975176.0,"2","t"
1459222836719.0,"2","p"
1459223871233.0,"2","t"
1459223890157.0,"2","t"
1459223999964.0,"2","t"
1459224159470.0,"2","t"
1459224390051.0,"2","t"
1459231476979.0,"1","t"
1459231486094.0,"1","t"
1459231497424.0,"1","t"
1459231548043.0,"1","t"
1459231584017.0,"1","t"
1459231601438.0,"1","t"
1459273397374.0,"2","t"
1459358815068.0,"2","t"
1459400079791.0,"2","t"
1459400087099.0,"2","t"
1459400096409.0,"2","t"
1459400272003.0,"2","t"
1459400291193.0,"2","t"
1459400331554.0,"2","t"
1459400358663.0,"2","t"
1459400388278.0,"2","t"
1459400437354.0,"2","t"
1459400483641.0,"2","t"
1459400600724.0,"2","t"
1459450813945.0,"92855","t"
1459459839247.0,"3","t"
1459459843743.0,"3","t"
1459461018321.0,"30615","t"
1459461243574.0,"30615","t"
1459461264795.0,"30615","t"
1459783602985.0,"71408","t"
1459783608410.0,"71408","t"
1459783617790.0,"71408","t"
1459878645579.0,"2","t"
1459878821192.0,"2","t"
1459878828731.0,"2","t"
1459878849010.0,"2","t"
1459878886922.0,"2","t"
1459878911879.0,"2","t"
1459879003977.0,"2","t"
1459879048715.0,"2","t"
1459962597101.0,"2","t"
1459962614655.0,"2","t"
1459962699246.0,"2","t"
1459962773296.0,"2","t"
1459962785376.0,"2","t"
1459962817121.0,"2","t"
1460134083222.0,"2","t"
1460134089006.0,"2","t"
1460134093842.0,"2","t"
1460134103523.0,"2","t"
1460134107841.0,"2","t"
1460134115363.0,"2","t"
1460134132591.0,"2","t"
1460134141268.0,"2","t"
1460134145576.0,"2","t"
1460134154397.0,"2","t"
1460134212785.0,"2","t"
1460134228367.0,"2","t"
1460135094393.0,"2","t"
1460135104601.0,"2","t"
1460135127339.0,"2","q"
1460140605831.0,"66316","t"
1460140672671.0,"66316","t"
1460140709781.0,"66316","t"
1460140754335.0,"66316","t"
1460142518744.0,"2","t"
1460142589641.0,"2","t"
1460330466949.0,"65860","t"
1460331041292.0,"82243","j"
1460331097796.0,"82243","j"
1460492831893.0,"2","t"
1460492884426.0,"2","t"
1460492915063.0,"2","t"
1460685196891.0,"2","t"
1460690100946.0,"77945","t"
1460690106468.0,"77945","t"
1460690118136.0,"77945","t"
1460690128389.0,"77945","t"
1460690134229.0,"77945","t"
1460690144458.0,"77945","t"
1460690151688.0,"77945","t"
1460690158377.0,"77945","t"
1460690164459.0,"77945","t"
1460690168809.0,"77945","t"
1460690174483.0,"77945","t"
1460690225684.0,"77945","t"
1460690230496.0,"77945","t"
1460690646852.0,"77945","t"
1460690679199.0,"77945","t"
1460690683146.0,"77945","t"
1460690688134.0,"77945","t"
1460690696604.0,"77945","t"
1460690705531.0,"77945","t"
1460690712820.0,"77945","t"
1460690720490.0,"77945","t"
1460695208432.0,"2","t"
1460695221846.0,"2","t"
1460695226469.0,"2","t"
1460695233016.0,"2","t"
1460695237422.0,"2","t"
1460695241302.0,"2","t"
1460695337782.0,"2","t"
